"Row.names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"CTB_1st_717"	"CTB_1st_722"	"CTB_1st_732"	"CTB_1st_734"	"CTB_1st_738"	"CTB_1st_750"	"CTB_1st_761"	"CTB_1st_770"	"CTB_1st_771"	"CTB_1st_772"	"EVT_1st_1026"	"EVT_1st_1087"	"EVT_1st_1089"	"EVT_1st_1094"	"EVT_1st_1096"	"EVT_1st_1097"	"EVT_1st_1099"	"EVT_1st_951"	"EVT_1st_970"	"EVT_1st_977"
"38"	"ENSG00000004779.9"	0.277120354431609	4.92640051637299	3.38968154224049	0.00274091784656475	0.00391088651254171	-3.07197137895557	5.04858491854622	5.28768790279792	5.08232218940556	4.88599309201803	5.38696267042769	4.68982802741359	4.94328080602152	5.18472454638349	5.16887771946331	4.98011537604219	4.72803794863918	5.02710946737569	4.58789213542576	4.8216020126756	4.99868798497647	4.86311992198126	4.71366632275521	4.56517299139555	4.82749027223428	4.7368540214813
"39"	"ENSG00000004799.7"	1.13260221592993	3.26349817583229	2.46178718173888	0.0224848329456504	0.0288224833746791	-4.52499519902596	4.67898157701306	4.46622875975018	4.52106132678741	2.54378072567631	4.00415810730293	4.23758185045759	1.71354640934391	3.0938839683922	4.53615305261032	3.54336028203043	2.4926747448364	2.71302745595151	2.17150946584817	3.8760999677971	2.86322050732592	3.21530105940472	3.34339869359639	3.5243811087173	1.41969435565196	2.311920098152
"40"	"ENSG00000004864.13"	0.448541753008536	5.92874252564039	6.94638904596572	0.000000700324772357701	0.00000161417273307106	5.16450995023903	6.20457293655426	6.14401619379004	6.21337429920358	6.15996629516434	6.20518432603298	6.01801073614856	6.24439137556705	6.39513285054656	6.07028134420966	5.88685730917019	5.68090830469165	5.66895805925799	5.76779195269797	5.68009674651305	5.85847834096154	5.8148339873658	5.35669551620984	5.68829737577232	5.66257894508793	5.85442361786248
"41"	"ENSG00000004866.20"	0.318662128438659	5.42099498825992	5.59825952730213	0.0000143849110525356	0.0000272163361113155	2.11928829343879	5.4024887670736	5.63483840285671	5.65840653878026	5.58933503411288	5.54257802208705	5.62521508721197	5.58332383193533	5.67930265727238	5.63468939914767	5.42985192819579	5.35731156491507	5.34371723032979	5.15979848332147	5.42228274714368	5.3465553124897	5.29858967448948	5.26187916332419	5.25304807153855	4.93735286967817	5.25933497929465
"44"	"ENSG00000004975.11"	0.777081539291557	4.75593022737824	12.8970150160139	1.69815596671524e-11	1.0374938674088e-10	16.2213407908744	5.27068497083903	4.98888021086003	5.14241909758817	5.04327388420812	5.10151859002958	5.11870021160335	5.15341576160269	4.98074319201287	5.32543740112629	5.2773045242214	4.4406167162733	4.29798995667266	4.25007851822228	4.37044381562407	4.39677790874708	4.31521459965263	4.63144730658351	4.48610142040435	4.2429032289104	4.28465323238301
"45"	"ENSG00000005001.9"	-1.55939264184192	4.12494071742247	-5.63437187260731	0.000013229775726004	0.0000251738992654684	2.44096184775935	3.75201239793575	2.29948600799459	3.56985483367846	3.72547905050179	3.08894719548465	3.90628669943358	2.28573030534376	2.3965207246708	4.0636548750581	4.18035896813619	5.07302357024443	4.4699060061005	4.94567367796862	5.42585156786496	4.76804371059466	4.87572782405247	4.78359626677363	6.00684961577277	3.81618087247869	5.06563017836088
"46"	"ENSG00000005007.12"	0.601671352334956	7.10442867567339	9.99168873996999	0.00000000181015921510509	0.00000000681467819798226	11.2610242506132	7.31005527303186	7.47631955955378	7.43160409671191	7.4108316241846	7.30201626577303	7.44002737134056	7.36425627015969	7.29792606304075	7.45250288925291	7.57335398728316	6.97578010114876	6.65852089078377	6.72655638866504	6.62177885006541	6.85826241713551	6.7900711433369	6.85185864816105	6.64964963150222	7.14007562582942	6.75712641650756
"47"	"ENSG00000005020.12"	-1.39591700185523	4.2515900886413	-18.2349542881575	1.99976239573851e-14	3.07993256143667e-13	23.1601253355881	3.75201239793575	3.87898891831796	3.42475593972756	3.42635164208942	3.30095027866587	3.58826893832638	3.46645354737914	3.74396833592626	3.6178750370452	3.33598043154901	5.01455341621438	5.09810745821709	4.96028865865063	5.02823349793506	4.90980408299321	4.78697548554576	4.70537494912382	4.89233773464906	4.97580870302105	5.12471231951332
"48"	"ENSG00000005022.5"	1.7237244777137	7.27051188405373	25.0970587697673	3.09140671133698e-17	2.22370179104104e-15	29.6236497798677	8.32019142845932	8.18972875190036	8.22230451366838	8.04205042377852	8.05218200468446	7.95557693671775	7.98587379234027	8.23143415437184	8.1447166233075	8.19444200464268	6.33320550412469	6.15546495014395	6.49881073283438	6.37368115158297	6.60902517320149	6.62385811595104	6.5259340570277	6.07352480878555	6.42888115487525	6.44935139867643
"49"	"ENSG00000005059.15"	1.42475418203578	4.74614513323376	12.5775653268327	2.72337598946908e-11	1.59673391109838e-10	15.7746036839333	5.36244139715695	5.59460127174798	5.34977526650636	5.4211485687808	5.56643133550141	5.44767060815358	5.69771618024219	5.42780732924549	5.61433081378923	5.29294690893105	4.34588270894161	3.85939549324873	3.94041795251713	4.33292037297786	4.17616842692598	4.3823889015435	4.11833213796161	2.96967982318223	4.24515392365843	3.77769324366313
"50"	"ENSG00000005075.15"	0.238127679164378	4.1857067568918	3.8787345515244	0.000857383896705776	0.00129707439233351	-1.78740085487605	4.23935293129393	4.3506756888619	4.37456194562438	4.31979151940553	4.34666510045652	4.11041533086094	4.24801913961137	4.41745366600653	4.33647420397683	4.37154767722988	3.87627973627859	3.95347115757073	3.97783865374178	4.1025861995549	4.20362301454133	4.25030265584879	4.13900147489693	3.78681576603242	4.21101916789061	4.09824010815213
"51"	"ENSG00000005100.12"	0.46918415090036	3.85291051530395	3.58891739591717	0.00171131998357967	0.00249810594292808	-2.35120050283434	3.95196968129802	4.19680871890307	4.01529228527331	4.21144179708417	4.00182742013869	4.18690637594461	3.76785282890182	4.44561527419897	4.44509564912267	3.88566745752263	3.93847449788593	3.77289891192891	3.29194724416984	3.32338501083106	3.62611982324598	3.883775105759	2.74231652751195	3.73179106552261	4.05299068096935	3.58603394986629
"52"	"ENSG00000005108.15"	1.33842474283411	5.25730326079735	7.87834781801742	0.0000000993856908120456	0.00000026672586306619	7.25694925072724	5.68118315693197	6.4439853851799	6.09845824521244	5.92450036829957	6.07986062353458	5.73314947682489	6.16497559918147	5.79747895871224	5.22779288502306	6.04657061029092	4.94757670499318	3.81906909336183	4.63028842894803	5.37136951026018	4.60053037903603	4.63210895409641	5.21202693292347	4.33840212954853	4.37414776218865	4.02259001139968
"54"	"ENSG00000005175.9"	0.314289588189608	4.58315655418927	5.2242383791385	0.0000344869983322296	0.0000619768958185784	1.34794205163868	4.72409658334029	4.8919218691757	4.59406029369165	4.75610672783416	4.81334164577747	4.64881048026143	4.75028695615893	4.86520428800647	4.75937771800843	4.61881891849336	4.3851216036816	4.39872058872341	4.32620164682086	4.28656473728612	4.4109801075165	4.46814304844953	4.17547604506522	4.56517299139555	4.54829400870593	4.67643082539275
"55"	"ENSG00000005187.11"	4.19873005526684	2.51359510995128	8.5709631834509	0.0000000251053975795533	0.000000074700864366612	9.21782039517387	4.7545236170918	4.11789166167885	4.39560959406805	4.93549005780713	4.7810862910677	4.39964725364518	4.84042839003609	4.27260314445021	5.21536916957498	4.37833152221016	-0.325777886104533	-0.282090322668747	1.23470329233536	1.10481430044702	0.946829939976673	0.991963538105949	1.52711064676877	-0.730759894958865	-0.197508482069407	-0.0883636344368138
"56"	"ENSG00000005194.14"	0.666983834053956	5.12644772369576	9.23575748649687	0.00000000710814989009744	0.0000000237221858719002	9.95946468512221	5.73473440650392	5.61444949594578	5.33499342570631	5.34137530579013	5.55057302753486	5.15723364866139	5.39626237827397	5.53855706952365	5.5637751473408	5.40570584086408	4.66566735330496	4.75043946139663	4.75527520578656	4.68531715297748	5.07796851350012	4.87393342700412	4.74366673354489	4.58600649481272	4.84243287128242	4.91058751416047
