"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000164292.12"	2.96224539194512	7.48802204471331	5.70823027814033e-106	3.97994785406284e-104
"ENSG00000116704.7"	-2.96101348822694	6.49724665533157	1.62149034029142e-105	1.1229636792931e-103
"ENSG00000089639.10"	4.29246603856459	4.52311950643629	1.77303876244394e-105	1.21973246597727e-103
"ENSG00000168092.13"	1.63793830245179	7.58474097346167	3.74737167796025e-105	2.5608694268127e-103
"ENSG00000116584.17"	3.17942095481081	6.92434222053302	4.84536691924891e-105	3.28943034471904e-103
"ENSG00000198087.7"	-1.71923041006066	7.03370511835391	1.27977069730277e-104	8.63134236958643e-103
"ENSG00000206538.8"	2.93882014182711	10.2981993512806	1.47786950915751e-104	9.90268536688075e-103
"ENSG00000170581.13"	1.90922709666114	7.56281055505496	1.96333709144348e-104	1.30707583526486e-102
"ENSG00000086598.10"	1.44944934163138	8.61310566324102	3.49172306991601e-104	2.30968527938867e-102
"ENSG00000166912.16"	-2.1786044367881	6.43034999740311	3.63674033650522e-104	2.39028812308263e-102
"ENSG00000136068.14"	2.69987994112954	11.2270533440125	4.73737340286149e-104	3.09398456608403e-102
"ENSG00000180879.13"	1.55116629448656	6.42070579687394	5.95936155086504e-104	3.86758816625009e-102
"ENSG00000008323.15"	2.02688373419906	6.66658903311834	1.26335274028908e-103	8.1478355794019e-102
"ENSG00000137693.13"	-2.20582650384152	8.11273585044999	1.37684072443659e-103	8.82460834500695e-102
"ENSG00000196700.8"	-1.59137776106645	5.55753139199133	2.54015679081172e-103	1.61801715582631e-101
"ENSG00000081026.18"	-2.38364626156048	4.96584431042074	2.67431846408453e-103	1.69302406324468e-101
"ENSG00000197948.10"	2.1372569750375	4.36766519134137	4.31996218399401e-103	2.71815181564843e-101
"ENSG00000118707.9"	-3.4444400294249	3.64600359807851	4.3964614828077e-103	2.74952036612683e-101
"ENSG00000162734.12"	2.24504812941722	6.80333132544016	4.65518077473687e-103	2.89378375991023e-101
"ENSG00000114423.18"	3.02972102553146	8.0108886709908	7.24143651170018e-103	4.47451397390624e-101
"ENSG00000100368.13"	5.1962177900845	8.82662925840675	1.20201568350093e-102	7.38309514169408e-101
"ENSG00000137509.10"	2.58650836388787	7.27025118146328	3.22172749793071e-102	1.96716012136965e-100
"ENSG00000120899.17"	2.81575810643795	6.87214030536813	3.5919263146489e-102	2.18029927299188e-100
"ENSG00000166557.12"	1.42377210806592	6.76537515962932	1.88799228914355e-101	1.13930949892821e-99
"ENSG00000139629.15"	2.11787097834481	7.12917537993017	2.4191524057208e-101	1.4513507950368e-99
"ENSG00000146112.11"	3.57754030491392	4.8156086164907	4.80259183541025e-101	2.8646211069132e-99
"ENSG00000123143.12"	2.65613092870739	5.85325859050819	5.53984512693972e-101	3.28538286579833e-99
"ENSG00000131236.16"	1.85589946115835	9.05974009786624	1.37703710680184e-100	8.11979766005042e-99
"ENSG00000158156.7"	-1.9515397499808	4.50353019291825	3.06093792804874e-100	1.7946487772463e-98
"ENSG00000170348.8"	1.97035119310889	8.65062598187251	4.78819891091958e-100	2.79149291309486e-98
"ENSG00000006453.13"	2.58994603705626	7.00808411980789	7.57360301661824e-100	4.39056233306088e-98
"ENSG00000170802.15"	2.15841261309274	7.12514058224674	1.18103442690942e-99	6.8084325426136e-98
"ENSG00000074842.7"	1.60029457013715	6.11447355819798	1.53603560188525e-99	8.80575076436327e-98
"ENSG00000181751.9"	3.03214239238187	6.41600361544941	3.21292544085717e-99	1.83172252067432e-97
"ENSG00000163840.9"	2.16755746419562	6.26127535586494	3.53371863536968e-99	2.00354080210877e-97
"ENSG00000121310.16"	-3.61269076552271	5.76337650245901	7.46682778467259e-99	4.21039321912767e-97
"ENSG00000102034.16"	1.92368506091246	7.01796807338493	8.25609716192491e-99	4.63014492466865e-97
"ENSG00000124214.19"	-1.69722092198119	6.50057992250432	1.82391238308754e-98	1.01734875032867e-96
"ENSG00000133103.16"	1.52266245826962	6.18811984224206	4.06054723761582e-98	2.2527304809117e-96
"ENSG00000100299.17"	2.22277204552276	4.63205213649906	6.51144037611007e-98	3.59313118936256e-96
"ENSG00000073921.17"	1.61399925342516	8.88481138062498	9.01100559495813e-98	4.94598759225388e-96
"ENSG00000159110.19"	2.93151879837818	5.02028663716202	1.18585759285669e-97	6.47453148184561e-96
"ENSG00000163166.14"	1.46684204729054	6.96177977897653	1.22638619270717e-97	6.66056795923434e-96
"ENSG00000087448.9"	-1.82637457685092	6.66437266756696	1.47893457320598e-97	7.99011825178668e-96
