Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000011405.14,7962.452,8873.479,9253.665,2833.038,2832.606,2877
ENSG00000011422.12,94.018,115,75.999,916.833,922,508.347
ENSG00000011426.11,5010.035,6032,5238.05,2032.115,2707.877,2594.002
ENSG00000011451.21,720,696.001,877,508.999,358.013,400
ENSG00000011454.18,2519.229,2532,2890.294,1393.277,1047.373,1198.023
ENSG00000011465.18,3148.026,388.002,7,298.025,31,6
ENSG00000011478.13,168.934,248.997,294.758,194.629,148.092,145.667
ENSG00000011485.15,1096.515,1365.368,1348.005,918.058,818.831,815.547
ENSG00000011523.15,1190.766,1250.074,1183.393,253.609,203.441,324.684
ENSG00000011566.15,1821,1868.994,1935.009,1399.264,1202.001,1095.001
ENSG00000011590.14,0,0,0,0,0,0
ENSG00000011600.12,3,9,1,128,176,72
ENSG00000011638.11,254.999,163,132,51,82.026,102
ENSG00000011677.13,15.008,195,449,19,33,63
ENSG00000012048.25,1549.203,2072,2216.994,968,1182.163,888.999
ENSG00000012061.17,718.001,696.226,724.615,510,452,451.357
ENSG00000012124.17,1,8,2,223.524,115.001,274
ENSG00000012171.20,105,404,125,1303.337,275.999,975.001
ENSG00000012174.12,339.798,370.688,461.681,258,242.148,176.001
ENSG00000012211.13,159,259,246.998,238.002,175,168
ENSG00000012223.13,4,3,1,27.999,15.857,27
ENSG00000012232.10,1449.713,1887.456,1806.278,10136.175,8019.215,10132.678
ENSG00000012504.15,2,0,0,0,2,0
ENSG00000012660.14,2146.138,2751.009,2373.261,3447.002,2777.742,3008.898
ENSG00000012779.12,8,10,17,236.001,172.02,140
ENSG00000012817.16,2047.5,2456.999,0,1483.956,1413.011,1345
ENSG00000012822.16,1232.998,1571.002,1682.461,1459.028,1213.32,1268.999
ENSG00000012963.15,1132,1335.001,1135.001,501,520,604
ENSG00000012983.12,1071.026,1262.999,1198.001,1899.023,1936.018,2045.999
ENSG00000013016.16,984,1137,1745.547,1602.1,2612.308,1391.001
ENSG00000013275.8,2839.394,3112.999,3602.814,1425.502,1334.384,1285.56
ENSG00000013288.9,1984.224,2292.587,2048.134,2494.934,2163.344,1898
ENSG00000013293.6,3,12.079,27.093,18.995,8,12.151
ENSG00000013297.12,14,23.37,8,10,8,4
ENSG00000013306.16,2206.819,2459.817,2167.915,1596.062,1163.568,1305.001
ENSG00000013364.19,4788.626,5335.23,5632.021,5741.81,5421.219,4837
ENSG00000013374.17,1891.8,2166.001,2076.002,1957.826,1235,1504
ENSG00000013375.17,2597.72,3306.064,2948.613,5445.767,5465.738,4911.636
ENSG00000013392.8,157,165,190.001,90.034,131,97
ENSG00000013441.17,5954.137,5083.371,6124.36,3950.01,3505.265,3911.943
ENSG00000013503.10,1258.353,1589.092,1364,1102.424,1009,914
ENSG00000013523.11,1095.729,1228.528,902.475,406.693,349.226,346.716
ENSG00000013561.18,1471.665,1720.076,1701.935,1202.392,1161.987,1248.27
ENSG00000013563.14,174,269.999,143,1173.96,782.729,1110.809
