Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,CTB_1st_734,CTB_1st_738,CTB_1st_750,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089,EVT_1st_1094,EVT_1st_1096,EVT_1st_1097
ENSG00000002822.16,734.761,935.141,1018.564,716.824,1026.177,632.996,582.283,618.28,605.194,380.579,779.204,695.221
ENSG00000002834.19,2531.765,2304.527,1631.492,2708.001,2750.999,2572,8413.674,6401.911,5689.958,5385.061,7951.527,6491.757
ENSG00000002919.15,449.011,413.999,405.001,407.999,432.839,309.492,355.33,308,280,148,509.999,421.001
ENSG00000002933.9,11,0,0,0,1,0,19,27,14,25,18,37.999
ENSG00000003056.8,2917.444,2984.703,2758.59,2275,3563.794,2435,2106.355,2452.536,2051.002,1620.539,2780.476,2842.199
ENSG00000003096.15,117,0,0,2,0,2,5,1,3,6,1,2
ENSG00000003137.9,34,29,31,48,50,45,166,149,131,85,115,141
ENSG00000003147.19,29.001,25,25,26,30,27,49.001,43.999,11,21,52,66
ENSG00000003249.15,1,11,8,8,9,4,15,3,1,6,8,8
ENSG00000003393.16,1139.999,1309.311,1321,881.399,1373.229,1100.446,906.802,949.611,859.887,778.275,1143.917,911.121
ENSG00000003400.16,106.095,80.335,87.52,84.188,90.081,70.585,128.11,103.12,95.998,64.045,118.798,126.286
ENSG00000003402.21,4607.925,4521.599,5338.59,4256.848,4679.419,4647.242,3260.206,2340.139,2743.879,2448.661,3074.147,3182.012
ENSG00000003436.16,2929.598,11117.764,4881.508,6532.539,5420.652,6483.936,53898.098,70206.011,53211.38,35263.572,78479.681,62084.948
ENSG00000003509.16,351,570,400.007,390.999,521.999,397.999,192.001,203.001,233,184.052,310,238.001
ENSG00000003756.17,5423.726,6215.181,6611.995,4895.001,5997.24,6162.072,3795.338,3638.637,3397.981,2957.387,3975.125,3823.784
ENSG00000003987.14,223.476,594,582,324,609.999,467.211,33,9,24,32.999,55,41
ENSG00000003989.18,6753.112,7999.894,11123.912,6407.052,8218.647,6850.287,3663.69,1674.199,2747.001,2538.04,4184.001,3305
ENSG00000004059.11,2189.967,2192.834,2249.896,1641.771,2334.855,1667.124,1243.76,1214.479,1242.618,1170.337,1922.248,1791.48
ENSG00000004139.14,61.049,37,55,53.409,45.006,42.008,81,45,42,39,104,121.999
ENSG00000004142.12,2256.735,2727,2448.972,2028.721,2711,1697.084,1326.119,1300,1174.231,928.301,1734.089,1636.426
ENSG00000004399.13,2441.013,2573,2098.125,2191.999,2504.308,1504.164,4224.291,2827.842,2674,1934.059,5181.605,5601.998
ENSG00000004455.18,4494.025,5966.034,5558.849,4571.798,6132.142,4633.884,1974.155,2346.004,2011.102,1870.671,2781.039,2572.288
ENSG00000004468.13,6,7.001,4,2,10,15,10.003,11,11.997,22,20,29
ENSG00000004478.8,6459.075,7792.009,7409.091,5985.675,8978.888,5437.318,1477.986,1458.948,1630.001,1168.001,2102.679,2025
ENSG00000004487.18,4156.491,5751.812,4646.246,5007.535,6129.877,3788.803,5937.526,6517.453,5455.062,4512.418,6017.003,9454.323
ENSG00000004534.15,2459.011,2152.526,2589.136,2096.994,3021.649,2196,2595.759,2192.001,2351.822,1985.999,2863,2496
ENSG00000004660.15,112,28,53,23.961,36,36.142,26.944,25.001,23,15,31,24
ENSG00000004700.16,1065.756,1278.998,1017.071,946,1351.593,829.999,1841.783,1893.686,1684.616,1511.58,2006.523,1868.001
ENSG00000004766.17,970.525,976.297,885.001,744,1047.904,811.165,1061.565,879.259,809.186,611.001,883.001,828.999
ENSG00000004776.13,17,0,0,0,2,0,0,0,0,0,0,1
ENSG00000004777.19,49,52,70,40,57,44,50.999,20,41,19,40,33
ENSG00000004779.10,1066,1354,1225,865,1609.389,717.456,605.001,743,514.001,527.309,893,805.859
ENSG00000004799.8,820.296,771,793.999,167.999,617.176,514,122,152,95,250,212,257
ENSG00000004809.14,0,0,1,0,0,1,3,2,1,1,6,10
ENSG00000004838.14,2,2,2,1,8,1,7,3,1.007,0,12,4
ENSG00000004846.17,5,3,1,3,1.042,3.807,1,4.957,2,1,0,3
ENSG00000004848.8,0,4,0,2,2,0,25,28,20,10,15,12
ENSG00000004864.14,2399.49,2544.448,2628,2030,2785.944,1775.997,1168.414,1135.509,1180,942,1652.134,1552
ENSG00000004866.22,1328.901,1713.601,1705.968,1355.362,1719.996,1307.016,908.141,899.875,767.866,772.017,1117.925,1053.944
ENSG00000004897.12,3234.224,4255.958,3621.89,3209.964,4461.987,2710.306,2369.016,2478.091,2465.999,2002.41,3024.198,3143.734
ENSG00000004939.16,6,0,2,7,13,5.158,15,16,3,5,18,0
ENSG00000004948.16,19,12,9,2,15,0,3,3,0,10,4,5
ENSG00000004961.15,410,441.999,380.001,371.001,542.002,317,242.001,307,258.001,217,351,327
ENSG00000004975.12,1222.001,1100.997,1250,940.376,1287.999,953.216,496.001,455.001,415,381.001,594.001,547
ENSG00000005001.10,334.001,133.999,301.001,284,231,262.347,577,377,549.999,644.982,612,652
ENSG00000005007.14,5106.953,6310.95,6163.625,4996,6070.552,4738.358,2828.884,2272.023,2354.001,1844.527,3265.601,3013.596
ENSG00000005020.13,452,528.11,408,314,389,324,775.004,800.207,739,667.001,873,763
