Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000200975.1,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0
ENSG00000251977.1,0,2,0,0,0,0
ENSG00000162426.14,14,0,2,2,0,0
ENSG00000252254.1,0,0,0,0,0,0
ENSG00000142599.17,2030,2419,3300,1350,987,1012
ENSG00000232912.5,5,2,0,0,1,4
ENSG00000221083.1,1,0,6,3,0,2
ENSG00000270282.1,0,0,0,0,0,0
ENSG00000234619.1,8,16,8,6,8,6
ENSG00000224315.2,5,3,7,2,5,3
ENSG00000222511.2,0,0,2,2,0,0
ENSG00000226545.1,0,0,0,0,0,0
ENSG00000228423.2,6,10,10,0,2,0
ENSG00000229716.2,0,0,0,0,0,0
ENSG00000074800.13,37283,47864,42920,29617,32717,28616
ENSG00000274258.1,0,5,10,6,4,2
ENSG00000236269.1,59,67,97,75,47,64
ENSG00000230679.1,1,9,2,2,1,2
ENSG00000201725.1,0,0,0,0,0,0
ENSG00000238249.2,27,38,22,10,10,12
ENSG00000232208.2,0,0,0,0,0,0
ENSG00000232663.2,0,0,0,0,0,0
ENSG00000131686.14,0,0,0,0,0,0
ENSG00000265141.2,0,0,0,0,0,0
ENSG00000197241.3,3,0,0,0,0,0
ENSG00000142583.17,2,10,4,63,51,64
ENSG00000252404.1,0,0,0,0,0,0
ENSG00000180758.11,4169,3988,4456,330,486,591
ENSG00000228526.6,8,22,21,25,21,23
ENSG00000284357.1,0,0,0,0,0,0
ENSG00000234546.3,5,18,7,5,0,12
ENSG00000281937.1,0,0,0,0,0,0
ENSG00000049239.12,3702,3815,4344,2876,3249,3594
ENSG00000171621.13,266,85,32,601,646,406
ENSG00000252956.1,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0
ENSG00000171612.6,754,460,608,261,360,208
ENSG00000231181.1,15,14,37,8,11,4
ENSG00000188807.12,603,612,645,157,99,117
ENSG00000171608.15,22,25,35,122,105,57
ENSG00000179840.5,0,0,0,1,0,0
ENSG00000233268.3,0,0,0,0,0,0
ENSG00000231789.2,9,5,1,38,31,16
ENSG00000171603.16,3366,3188,4172,1379,1076,1245
ENSG00000271264.1,0,0,0,0,0,0
ENSG00000280113.2,0,0,0,2,0,0
ENSG00000178585.14,1100,993,1019,275,295,279
ENSG00000223989.1,0,0,0,0,0,0
ENSG00000162441.11,888,1006,957,654,649,679
