"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000124214.19"	-1.69722092198119	6.50057992763788	1.82391238308952e-98	1.01734875032977e-96
"ENSG00000133103.16"	1.52266245826962	6.18811983524575	4.06054723761917e-98	2.25273048091356e-96
"ENSG00000100299.17"	2.22277204552276	4.63205210953101	6.51144037610952e-98	3.59313118936225e-96
"ENSG00000073921.17"	1.61399925342516	8.88481137955519	9.01100559496019e-98	4.94598759225501e-96
"ENSG00000159110.19"	2.93151879837818	5.02028661333765	1.18585759285673e-97	6.4745314818458e-96
"ENSG00000163166.14"	1.46684204729054	6.96177977512844	1.22638619270772e-97	6.66056795923737e-96
"ENSG00000087448.9"	-1.82637457685092	6.66437267239028	1.47893457320586e-97	7.99011825178599e-96
"ENSG00000064601.16"	1.61595993816376	6.56166127009823	4.17602790430929e-97	2.24439749711289e-95
"ENSG00000135604.9"	4.11425965914295	4.1291914379834	4.86377178707475e-97	2.60047984822924e-95
"ENSG00000158710.14"	2.3498572955144	8.88323076739989	6.14448604887913e-97	3.26829647105071e-95
"ENSG00000064547.13"	4.20190443911815	3.56386963302453	7.36103927889865e-97	3.89531099071565e-95
"ENSG00000141736.13"	3.29818948047343	8.78926628512271	9.86168898834881e-97	5.1919779934067e-95
"ENSG00000011422.11"	4.02517452618873	4.26396161962567	3.2938321288565e-96	1.7253326770391e-94
"ENSG00000100219.16"	2.1372219546112	8.66205365552565	3.73805073009522e-96	1.94812855979054e-94
"ENSG00000140479.16"	3.85044896866329	8.14214314563962	1.16820205166719e-95	6.05762661867023e-94
"ENSG00000204178.9"	1.70066584805574	5.3088527581418	1.24918961868545e-95	6.44519383760755e-94
"ENSG00000173212.4"	-4.58823750488659	3.50806533648904	2.19271372094305e-95	1.1257021336523e-93
"ENSG00000108219.14"	3.45254177728323	7.0111513316591	1.3230228211351e-94	6.75855073826392e-93
"ENSG00000170421.12"	1.97309276619986	11.6514011729881	1.45958283257282e-94	7.4194262311916e-93
"ENSG00000149932.16"	1.71372614851825	5.42216431795985	1.54458868056117e-94	7.81304440917194e-93
"ENSG00000162694.13"	-2.18183361646862	6.13135484020613	2.12155967946078e-94	1.06792069913931e-92
"ENSG00000157045.8"	-2.18548413814147	4.36514898963568	3.65885326559158e-94	1.83280130328347e-92
"ENSG00000182827.8"	1.40382910229611	7.20349477374007	5.17620598382007e-94	2.58035118584731e-92
"ENSG00000142459.8"	2.41459665286597	5.86894899790214	9.45784568689537e-94	4.69209180976314e-92
"ENSG00000077782.19"	2.85819486457914	7.64887708712053	1.02272781212102e-93	5.0495350685535e-92
"ENSG00000107099.15"	-3.16411648775878	6.98631463446038	1.11247932195756e-93	5.46651148727622e-92
"ENSG00000148842.17"	-2.62497657268001	5.55991232059774	1.17859245714739e-93	5.76393154753739e-92
"ENSG00000196141.13"	2.82589151759182	4.81734009029804	2.04036405831586e-93	9.93137581026481e-92
"ENSG00000031081.10"	3.64866675149571	6.76083302505519	2.12642893450611e-93	1.03016996127552e-91
"ENSG00000158352.15"	3.17246986299307	4.83880752729912	2.19766169293215e-93	1.05970425277415e-91
"ENSG00000078808.16"	1.93649572234866	7.34698294754927	6.0684989010711e-93	2.91259721675129e-91
"ENSG00000005238.19"	3.12339302465813	4.39684683624314	6.9040234368146e-93	3.29826934465231e-91
"ENSG00000135506.15"	1.61395054605253	8.4727420648117	8.34565740476645e-93	3.96861008109608e-91
"ENSG00000141934.9"	6.18274406910795	3.48012560465398	1.70208111873542e-92	8.05677755239945e-91
"ENSG00000058056.8"	-3.15094928613664	4.28828978170379	2.07731917025816e-92	9.78806233693787e-91
"ENSG00000110218.8"	1.54190363663241	5.95785222047727	2.22137878676213e-92	1.04192762275447e-90
"ENSG00000105971.14"	2.88115234099988	5.78289037382256	5.47077338203612e-92	2.55443034068918e-90
"ENSG00000198815.8"	1.74146071733267	7.37724270730641	8.15696663042727e-92	3.79151975943149e-90
"ENSG00000057294.14"	1.95197793577717	8.43308875831645	8.38187986222714e-92	3.87859274880367e-90
"ENSG00000117385.15"	2.48679904095246	7.12552108169013	9.27626534421804e-92	4.27329384316902e-90
"ENSG00000163346.16"	2.28564416163339	6.67072942223754	1.26964756171244e-91	5.82288586191584e-90
"ENSG00000072682.18"	3.97104777696725	6.00495161722428	1.91284033794944e-91	8.73389356075234e-90
"ENSG00000143537.13"	3.23451254261214	7.29992251497799	1.991785734018e-91	9.05428942261312e-90
"ENSG00000092068.19"	-3.24226544835638	5.19166340806243	2.41941904682575e-91	1.0949993484296e-89
"ENSG00000134909.18"	-2.10436009774876	6.05392016131652	2.69888618670809e-91	1.21614875810659e-89
"ENSG00000131242.17"	-2.76238828065371	7.22334050616794	3.02936360763608e-91	1.35913056813899e-89
"ENSG00000164877.18"	3.41814124450303	3.96341450663846	3.88981739221667e-91	1.73762015888675e-89
"ENSG00000073008.14"	4.24010620109653	7.20590857222717	4.08542161078321e-91	1.8171321380031e-89
"ENSG00000214796.8"	-3.21056826701678	4.14378015442284	5.48254643262027e-91	2.42808569262698e-89
"ENSG00000123066.7"	2.49757744071375	7.90884559196767	8.3427246140891e-91	3.67899894413613e-89
"ENSG00000205413.7"	3.54857130271299	4.76763487267987	1.7965636109313e-90	7.88882548987239e-89
"ENSG00000204217.13"	1.60350324503918	6.80373713729938	2.09180347555848e-90	9.14632206113896e-89
"ENSG00000127838.13"	2.27423715430333	6.13932852464712	4.35294110941816e-90	1.89527423240869e-88
"ENSG00000102805.14"	2.60426656372492	6.23096270935018	2.08647023539578e-89	9.04633880632315e-88
"ENSG00000136213.9"	-2.58749663633275	4.27043545949575	2.22999897825081e-89	9.62818387304187e-88
"ENSG00000122779.17"	-1.4881213827329	6.22652504683408	4.80164541496639e-89	2.06450745987659e-87
"ENSG00000198382.8"	-1.72641563242389	5.53149619407739	6.65015955789411e-89	2.84742723974727e-87
"ENSG00000115956.9"	6.46785665457987	2.75262972871299	7.34458560774106e-89	3.13176772257355e-87
"ENSG00000130816.14"	-2.56679034229901	8.59990575378258	8.68337294589546e-89	3.68739610817676e-87
"ENSG00000074356.16"	-1.86532499958842	6.85825386449395	1.87754522343604e-88	7.94032342649039e-87
"ENSG00000130762.14"	4.00484297562124	6.5902592973991	2.70642029613012e-88	1.13990004227619e-86
"ENSG00000013375.15"	1.32319039426513	7.0902835648894	6.9685978144097e-88	2.92312848971112e-86
"ENSG00000204592.8"	2.00418691832425	8.48866424943364	1.09885867929638e-87	4.59073793994306e-86
"ENSG00000151135.9"	1.6679178378332	6.9239166064292	1.53219749184908e-87	6.3753007735446e-86
"ENSG00000163950.12"	-2.41188243264309	5.46808033030719	2.33278180891854e-87	9.6674600346307e-86
"ENSG00000116574.5"	1.8405880316855	7.45205621099278	2.47971306770699e-87	1.02352636582674e-85
"ENSG00000075790.10"	1.63135323952609	5.19517455347125	3.16518759042574e-87	1.30125779862961e-85
"ENSG00000068366.19"	2.8420933041753	7.86735833097453	3.80108243649186e-87	1.55648292310157e-85
"ENSG00000177225.16"	-1.60759594834613	4.89989990391062	3.89085522259436e-87	1.58694604908898e-85
"ENSG00000186907.7"	6.63276361145469	2.83759809479127	3.94448437041575e-87	1.60248559914646e-85
"ENSG00000155066.15"	-2.67479255076773	5.38545867751032	1.0107183275353e-86	4.09004016542616e-85
"ENSG00000137845.14"	1.87686986662295	8.05252164469881	1.31662920263421e-86	5.30714716483687e-85
"ENSG00000271383.6"	2.66691973418781	3.89491979368394	1.34673500186162e-86	5.40737684210508e-85
"ENSG00000113441.15"	1.64880628974968	7.46414590537929	2.14086369250946e-86	8.56262497790895e-85
"ENSG00000151422.12"	1.93242779517853	5.7471875026371	2.22903364484927e-86	8.8808487186099e-85
"ENSG00000163517.14"	-2.70634924321611	3.91295670509477	2.48003799825204e-86	9.84288927075493e-85
"ENSG00000017797.12"	2.95220764018296	8.46670180912213	3.12346563227821e-86	1.23490581837084e-84
"ENSG00000114554.11"	-3.10926688886929	7.32327266309301	3.22268500727902e-86	1.26927048053864e-84
"ENSG00000138674.16"	1.28289227013801	8.15252866640057	3.94384500744057e-86	1.54739683010567e-84
"ENSG00000081923.11"	-3.35771391543584	5.94734919504516	4.21502076249178e-86	1.64753027455124e-84
"ENSG00000099992.15"	1.58215072021191	5.48135627851087	4.9967518021032e-86	1.94571629607181e-84
"ENSG00000173457.10"	2.32221875130184	6.90212448478629	8.0855063119926e-86	3.13662930952826e-84
"ENSG00000122642.10"	1.42731647745913	6.53671102097608	1.18846263027131e-85	4.59316325159913e-84
"ENSG00000163430.11"	2.9753014078122	11.3206589050533	1.95346439841883e-85	7.52156683853877e-84
"ENSG00000177595.17"	-2.00386714596459	4.23821110722003	2.08575869966408e-85	8.00109443190843e-84
"ENSG00000107262.18"	-1.99099233665704	5.66326894360949	4.08560159685171e-85	1.56145640288566e-83
"ENSG00000155254.12"	1.98588760249596	6.30545986160006	4.18743902700373e-85	1.59447170921223e-83
